"id";"nama";"misi_id"
"1";"Meningkatkan daya beli dan ketahanan pangan masyarakat  melalui pengembangan agribisnis dan lembaga keuangan pertanian";"1"
"2";"Meningkatkan daya beli masyarakat melalui pengembangan minapolitan";"1"
"3";"Meningkatkan kesempatan  dan produktivitas Kerja serta perluasan kesempatan usaha ";"1"
"4";"Menciptakan iklim investasi yang kondusif serta mendorong pembangunan industri di berbagai sektor yang memiliki daya saing dan berwawasan lingkungan";"1"
"6";"Meningkatkan kesejahteraan Masyarakat melalui pengembangan ekonomi masyarakat berbasis ekonomi lokal";"1"
"7";"Meningkatkan Ketersediaan Kebutuhan Pokok Masyarakat dan Peningkatan Nilai Ekspor";"1"
"8";"Meningkatkan kapasitas lembaga dan kemandirian usaha ekonomi mikro perdesaan";"1"
"9";"Melestarikan dan mengembangkan budaya lokal";"2"
"10";"Meningkatkan kualitas dan partisipasi pemuda dalam pembangunan";"2"
"11";"Meningkatkan pembinaan dan prestasi olahraga";"2"
"12";"Meningkatkan pemahaman, penghayatan, pengamalan, dan pengembangan nilai-nilai keagamaan";"2"
"13";"Mewujudkan ketentraman dan ketertiban umum serta perlindungan masyarakat";"2"
"14";"Meningkatkan penanganan dan kemandirian penyandang masalah kesejahteraan sosial (PMKS), Melestarikan Keperintisan, Kepahlawanan dan Kesetiakawanan Sosial";"2"
"15";"Meningkatkan Partisipasi Potensi Sumber Kesejahteraan Sosial (PSKS)";"2"
"16";"Meningkatkan perlindungan terhadap anak dan perempuan";"2"
"17";"Mewujudkan Reformasi birokrasi menuju tata kelola pemerintahan yang bersih dan profesional";"3"
"18";"Meningkatkan efektifitas pengelolaan keuangan dan aset daerah";"3"
"19";"Meningkatkan  pelayanan administrasi kependudukan dan pencatatan sipil";"3"
"20";"Mengoptimalkan pengelolaan administrasi pertanahan";"3"
"21";"Membangun budaya partisipasi masyarakat dalam Pembangunan";"3"
"22";"Meningkatkan tata kelola pemerintahan desa dan keberdayaan masyarakat perdesaan";"3"
"23";"Mengentaskan desa sangat tertinggal dan tertinggal";"3"
"24";"Pemanfaatan Teknologi Informasi dan Komunikasi dalam pelaksanaan Penyelenggaraan Pemerintahan Kabupaten Sukabumi  yang mendukung E-Goverment";"3"
"25";"Meningkatkan Derajat Kesehatan Masyarakat";"4"
"26";"Mengendalikan laju pertumbuhan penduduk dalam mewujudkan penduduk tumbuh seimbang dan berkualitas";"4"
"27";"Meningkatkan budaya baca masyarakat";"4"
"28";"Meningkatkan akses dan kualitas layanan pendidikan untuk menghasilkan SDM yang religius, mandiri dan berdaya saing";"4"
"29";"mewujudkan penataan ruang yang terpadu dan berkelanjutan";"4"
"30";"Mewujudkan pengelolaan lingkungan hidup berkelanjutan dan penanggulangan bencana yang handal";"4"
"31";"Meningkatkan ketersediaan dan kualitas infrastruktur daerah yang mendukung perekonomian";"4"
"32";"Pengendalian pencemaran dan kerusakan lingkungan hidup";"4"
"33";"Meningkatkan Perlindungan, Rehabilitasi dan Konservasi Sumber Daya Alam";"4"
"34";"Meningkatkan pengembangan pariwisata dan ekonomi masyarakat berbasis potensi lokal";"1"
"35";"Pemanfaatan Teknologi Informasi dan Komunikasi dalam pelaksanaan Penyelenggaraan Pemerintahan Kabupaten Sukabumi  yang mendukung E-Goverment";"3"
"36";"Pemanfaatan Teknologi Informasi dan Komunikasi dalam pelaksanaan Penyelenggaraan Pemerintahan Kabupaten Sukabumi  yang mendukung E-Goverment";"3"
"37";"Meningkatkan Profesionalisme Aparatur Pemerintah Desa";"3"
"38";"Meningkatkan Keberdayaan Masyarakat Pedesaan";"3"
